date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:00	21201/21201	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230b7222eb526f81ce837938a024c361b%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/js/loader.js?1715859392524	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/js/loader9a77.js	(from https://www.centrovisionurbano.es/)
10:35:07	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/analytics.js	(from https://www.centrovisionurbano.es/)
10:35:07	1410/1410	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%226645eff2-582%22	https://www.centrovisionurbano.es/custGa0.set	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/custGa0.set	(from https://www.centrovisionurbano.es/)
10:35:07	91075/91075	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d3f796884c224a7ead39263529dd979%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/js/reseller/padigital/s_code1.0.js	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/js/reseller/padigital/s_code1.0.js	(from https://www.centrovisionurbano.es/)
10:35:08	24488/24488	---M--	200	added ('OK')	binary/octet-stream	etag:%22747442fa76f1d9a31f9a54a2e8a4b448%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/fonts/fa-regular-400.woff2	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/css/fonts/fa-regular-400.woff2	(from https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/grids.css?1715859392524)
10:35:08	109808/109808	---M--	200	added ('OK')	binary/octet-stream	etag:%22005c9aa92b564b73b7582cc4f1fa49cb%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/fonts/fa-brands-400.woff2	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/css/fonts/fa-brands-400.woff2	(from https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/grids.css?1715859392524)
10:35:08	4568/4568	---M--	200	added ('OK')	binary/octet-stream	etag:%22f20773a753bf1fbe9ccec04f90a470ea%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/fonts/fa-v4compatibility.woff2	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/css/fonts/fa-v4compatibility.woff2	(from https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/grids.css?1715859392524)
10:35:08	6850968/6850968	---M--	200	added ('OK')	image/jpeg	etag:%22bd7633f88990dbec540a6e26bb4bffe3%22	https://www.centrovisionurbano.es/uploads/vXYzImQ2/20230523_122440.jpg	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/uploads/vXYzImQ2/20230523_122440.jpg	(from https://www.centrovisionurbano.es/)
10:35:09	150020/150020	---M--	200	added ('OK')	binary/octet-stream	etag:%22d5e647388e2415268b700d3df2e30a0d%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/fonts/fa-solid-900.woff2	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/css/fonts/fa-solid-900.woff2	(from https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/grids.css?1715859392524)
10:35:09	189684/189684	---M--	200	added ('OK')	binary/octet-stream	etag:%22bb8cd014d7a55672934233c354e1c4a3%22	https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/fonts/fa-brands-400.ttf	C:/Users/AlbertoSANCHEZMARTI/OneDrive%20-%20Odigo/Escritorio/httpwww.centrovisionurbano.es/httpwww.centrovisionurbano.es/6fb806f48d74516758aaa63056303e31/css/fonts/fa-brands-400.ttf	(from https://site-assets.cdnmns.com/6fb806f48d74516758aaa63056303e31/css/grids.css?1715859392524)
